index,name,ingredient,rumCategory,ingredientCategory,pageNum
710,SCORPION,BLENDED LIGHTLY AGED RUM,2,RUM (BLENDED LIGHTLY AGED),272
711,,,,,
712,FOG CUTTER,LEMON JUICE,,JUICE (LEMON),275
713,FOG CUTTER,ORANGE JUICE,,JUICE (ORANGE),275
714,FOG CUTTER,ORGEAT,,SYRUP (ALMOND),275
715,FOG CUTTER,PISCO,,BRANDY (PISCO),275
716,FOG CUTTER,GIN,,GIN,275
717,FOG CUTTER,BLENDED LIGHTLY AGED RUM,2,RUM (BLENDED LIGHTLY AGED),275
718,FOG CUTTER,SHERRY OLOROSO,,SHERRY (OLOROSO),275
719,,,,,
720,SINGAPORE SLING,SELTZER,,SODA,276
721,SINGAPORE SLING,LEMON JUICE,,JUICE (LEMON),276
722,SINGAPORE SLING,DEMERARA SYRUP,,SYRUP (DEMERARA),276
723,SINGAPORE SLING,CHERRY HEERING LIQUEUR,,LIQUEUR (CHERRY HEERING),276
724,SINGAPORE SLING,BENEDICTINE,,LIQUEUR (BENEDICTINE),276
725,SINGAPORE SLING,LONDON DRY GIN,,GIN (LONDON DRY),276
726,SINGAPORE SLING,ANGOSTURA BITTERS,,BITTERS (AROMATIC),276
727,SINGAPORE SLING,ORANGE BITTERS,,BITTERS (ORANGE),276
728,,,,,
729,HONDO HATTIE'S JUNGLE PUNCH!,LEMON JUICE,,JUICE (LEMON),311
730,HONDO HATTIE'S JUNGLE PUNCH!,HONEY SYRUP,,SYRUP (HONEY),311
731,HONDO HATTIE'S JUNGLE PUNCH!,BLUE CURACAO,,LIQUEUR (ORANGE BLUE),311
732,HONDO HATTIE'S JUNGLE PUNCH!,TAWNY PORT,,PORT (TAWNY),311
733,HONDO HATTIE'S JUNGLE PUNCH!,JOHN D. TAYLOR'S VELVET FALERNUM,,LIQUEUR (FALERNUM),311
734,HONDO HATTIE'S JUNGLE PUNCH!,PEAR LIQUEUR (SUCH AS MATHILDE POIRE),,LIQUEUR (PEAR),311
735,HONDO HATTIE'S JUNGLE PUNCH!,BLENDED AGED RUM,3,RUM (BLENDED AGED),311
736,HONDO HATTIE'S JUNGLE PUNCH!,ANGOSTURA BITTERS,,BITTERS (AROMATIC),311
737,,,,,
738,KAHIKO PUNCH,LEMON JUICE,,JUICE (LEMON),311
739,KAHIKO PUNCH,PASSION FRUIT HONEY,,SYRUP (PASSION FRUIT HONEY),311
740,KAHIKO PUNCH,CINNAMON SYRUP,,SYRUP (CINNAMON),311
741,KAHIKO PUNCH,HIBISCUS LIQUEUR,,LIQUEUR (HIBISCUS),311
742,KAHIKO PUNCH,POT STILL UNAGED RUM,,RUM (POT STILL UNAGED),311
743,KAHIKO PUNCH,BITTERMENS 'ELEMAKULE TIKI BITTERS,,BITTERS (TIKI),311
744,,,,,
745,TRIUMVIRATE PUNCH,LIME JUICE,,JUICE (LIME),312
746,TRIUMVIRATE PUNCH,PASSION FRUIT HONEY,,SYRUP (PASSION FRUIT HONEY),312
747,TRIUMVIRATE PUNCH,ST. ELIZABETH ALLSPICE DRAM,,LIQUEUR (ALLSPICE DRAM),312
748,TRIUMVIRATE PUNCH,POT STILL UNAGED RUM,,RUM (POT STILL UNAGED),312
749,TRIUMVIRATE PUNCH,ANGOSTURA BITTERS,,BITTERS (AROMATIC),312
750,TRIUMVIRATE PUNCH,GRATED NUTMEG,,SPICE (NUTMEG),312
751,,,,,
752,EUREKA PUNCH,LEMON JUICE,,JUICE (LEMON),312
753,EUREKA PUNCH,HONEY SYRUP,,SYRUP (HONEY),312
754,EUREKA PUNCH,YELLOW CHARTREUSE,,LIQUEUR (YELLOW CHARTREUSE),312
755,EUREKA PUNCH,COLUMN STILL AGED RUM,4,RUM (COLUMN STILL AGED),312
756,EUREKA PUNCH,ANGOSTURA BITTERS,,BITTERS (AROMATIC),312
757,EUREKA PUNCH,GINGER ALE,,SODA (GINGER),312
758,,,,,
759,YULETIDAL WAVE,PINEAPPLE JUICE,,JUICE (PINEAPPLE),313
760,YULETIDAL WAVE,LEMON JUICE,,JUICE (LEMON),313
761,YULETIDAL WAVE,PEAR LIQUEUR (SUCH AS MATHILDE POIRE),,LIQUEUR (PEAR),313
762,YULETIDAL WAVE,LICOR 43,,LIQUEUR (LICOR 43),313
763,YULETIDAL WAVE,ST. ELIZABETH ALLSPICE DRAM,,LIQUEUR (ALLSPICE DRAM),313
764,YULETIDAL WAVE,BRANDY,,BRANDY (GRAPE),313
765,YULETIDAL WAVE,BOURBON,,WHISKEY (BOURBON),313
766,YULETIDAL WAVE,COLUMN STILL AGED RUM,4,RUM (COLUMN STILL AGED),313
767,,,,,
768,RUMBUSTION PUNCH,LIME JUICE,,JUICE (LIME),313
769,RUMBUSTION PUNCH,DEMERARA SYRUP,,SYRUP (DEMERARA),313
770,RUMBUSTION PUNCH,CINNAMON SYRUP,,SYRUP (CINNAMON),313
771,RUMBUSTION PUNCH,BLENDED AGED RUM,3,RUM (BLENDED AGED),313
772,RUMBUSTION PUNCH,BLENDED LIGHTLY AGED RUM,2,RUM (BLENDED LIGHTLY AGED),313
773,RUMBUSTION PUNCH,HERBSTURA,,BITTERS (HERBSTURA),313
774,,,,,
775,PUKA PUNCH,LIME JUICE,,JUICE (LIME),318
776,PUKA PUNCH,ORANGE JUICE,,JUICE (ORANGE),318
777,PUKA PUNCH,PINEAPPLE JUICE,,JUICE (PINEAPPLE),318
778,PUKA PUNCH,HONEY SYRUP,,SYRUP (HONEY),318
779,PUKA PUNCH,PASSION FRUIT SYRUP,,SYRUP (PASSION FRUIT),318
780,PUKA PUNCH,JOHN D. TAYLOR'S VELVET FALERNUM,,LIQUEUR (FALERNUM),318
781,PUKA PUNCH,BLENDED AGED RUM,3,RUM (BLENDED AGED),318
782,PUKA PUNCH,BLENDED LIGHTLY AGED RUM,2,RUM (BLENDED LIGHTLY AGED),318
783,PUKA PUNCH,BLACK BLENDED RUM,5,RUM (BLACK BLENDED),318
784,PUKA PUNCH,ANGOSTURA BITTERS,,BITTERS (AROMATIC),318
785,PUKA PUNCH,BLACK BLENDED OVERPROOF RUM,6,RUM (BLACK BLENDED OVERPROOF),318
