index,name,ingredient,rumCategory,ingredientCategory,pageNum
223,THE TWENTY SEVENTY SWIZZLE,GRATED NUTMEG,,SPICE (NUTMEG),116
224,,,,,
225,SHUDDERS IN A WHISPER,LIME JUICE,,JUICE (LIME),118
226,SHUDDERS IN A WHISPER,PASSION FRUIT SYRUP,,SYRUP (PASSION FRUIT),118
227,SHUDDERS IN A WHISPER,PEAR LIQUEUR (SUCH AS MATHILDE POIRE),,LIQUEUR (PEAR),118
228,SHUDDERS IN A WHISPER,DRAMBUIE LIQUEUR,,LIQUEUR (DRAMBUIE),118
229,SHUDDERS IN A WHISPER,SELTZER,,SODA,118
230,SHUDDERS IN A WHISPER,COLUMN STILL AGED RUM,4,RUM (COLUMN STILL AGED),118
231,SHUDDERS IN A WHISPER,PEYCHAUD'S BITTERS,,BITTERS (CREOLE),118
232,SHUDDERS IN A WHISPER,ANGOSTURA BITTERS,,BITTERS (AROMATIC),118
233,,,,,
234,CUEVAS,CINNAMON SYRUP,,SYRUP (CINNAMON),118
235,CUEVAS,PUNT E MES,,VERMOUTH (SWEET),118
236,CUEVAS,TAWNY PORT,,PORT (TAWNY),118
237,CUEVAS,BLENDED AGED RUM,3,RUM (BLENDED AGED),118
238,CUEVAS,BITTERMENS 'ELEMAKULE TIKI BITTERS,,BITTERS (TIKI),118
239,,,,,
240,NORWEGIAN PARALYSIS,ORANGE JUICE,,JUICE (ORANGE),119
241,NORWEGIAN PARALYSIS,PINEAPPLE JUICE,,JUICE (PINEAPPLE),119
242,NORWEGIAN PARALYSIS,LEMON JUICE,,JUICE (LEMON),119
243,NORWEGIAN PARALYSIS,DEMERARA SYRUP,,SYRUP (DEMERARA),119
244,NORWEGIAN PARALYSIS,ORGEAT,,SYRUP (ALMOND),119
245,NORWEGIAN PARALYSIS,AQUAVIT,,AQUAVIT,119
246,,,,,
247,JUAN HO ROYALE,CHAMPAGNE OR SPARKLING WINE,,WINE (SPARKLING),119
248,JUAN HO ROYALE,LIME JUICE,,JUICE (LIME),119
249,JUAN HO ROYALE,ORGEAT,,SYRUP (ALMOND),119
250,JUAN HO ROYALE,BLUE CURACAO,,LIQUEUR (ORANGE BLUE),119
251,JUAN HO ROYALE,JOHN D. TAYLOR'S VELVET FALERNUM,,LIQUEUR (FALERNUM),119
252,JUAN HO ROYALE,TEQUILA BLANCO,,TEQUILA (BLANCO),119
253,,,,,
254,CHARTREUSE SWIZZLE,PINEAPPLE JUICE,,JUICE (PINEAPPLE),120
255,CHARTREUSE SWIZZLE,LIME JUICE,,JUICE (LIME),120
256,CHARTREUSE SWIZZLE,JOHN D. TAYLOR'S VELVET FALERNUM,,LIQUEUR (FALERNUM),120
257,CHARTREUSE SWIZZLE,GREEN CHARTREUSE,,LIQUEUR (CHARTREUSE GREEN),120
258,,,,,
259,ROSELITA,SELTZER,,SODA,120
260,ROSELITA,LIME JUICE,,JUICE (LIME),120
261,ROSELITA,ORGEAT,,SYRUP (ALMOND),120
262,ROSELITA,HIBISCUS LIQUEUR,,LIQUEUR (HIBISCUS),120
263,ROSELITA,PEAR LIQUEUR (SUCH AS MATHILDE POIRE),,LIQUEUR (PEAR),120
264,ROSELITA,COLUMN STILL AGED RUM,4,RUM (COLUMN STILL AGED),120
265,ROSELITA,PEYCHAUD'S BITTERS,,BITTERS (CREOLE),120
266,,,,,
267,CENTER OF THE GALAXY,LIME JUICE,,JUICE (LIME),121
268,CENTER OF THE GALAXY,DEMERARA SYRUP,,SYRUP (DEMERARA),121
269,CENTER OF THE GALAXY,HONEY SYRUP,,SYRUP (HONEY),121
270,CENTER OF THE GALAXY,ST. GEORGE RASPBERRY LIQUEUR,,LIQUEUR (RASPBERRY),121
271,CENTER OF THE GALAXY,BLENDED AGED RUM,3,RUM (BLENDED AGED),121
272,CENTER OF THE GALAXY,GROUND CINNAMON,,SPICE (CINNAMON),121
273,,,,,
274,CALLALOO COOLER,SELTZER,,SODA,121
275,CALLALOO COOLER,LIME JUICE,,JUICE (LIME),121
276,CALLALOO COOLER,CINNAMON SYRUP,,SYRUP (CINNAMON),121
277,CALLALOO COOLER,CHERRY HEERING LIQUEUR,,LIQUEUR (CHERRY HEERING),121
